ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.analysis.differentiation.FiniteDifferencesDifferentiator.FiniteDifferencesDifferentiator(int,double,double,double);9;19;4;12;10;8;1;13;2;11;4;4;4;1;0;0;1;0;org.apache.commons.math4.analysis.differentiation.FiniteDifferencesDifferentiatorTest.testBoundedSqrt();0;16;8;12;8;1;0;11;7;4;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.differentiation.FiniteDifferencesDifferentiatorTest.testBoundedSqrt();11;0;0;11;0.6875;1;0.25;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketCentered();1;8;3;6;3;1;0;7;3;4;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketCentered();24;0;0;23;0.5897435897435898;1;0.02631578947368421;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLow();1;8;3;6;3;1;0;7;3;4;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLow();49;1;2;27;0.6923076923076923;24;0.631578947368421;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketHigh();1;8;3;6;3;1;0;7;3;4;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketHigh();50;1;2;28;0.717948717948718;24;0.631578947368421;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLinear();0;8;1;5;1;1;0;4;2;2;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLinear();1312;1;100;28;0.717948717948718;25;0.6578947368421053;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketExponential();0;10;3;7;2;1;0;6;3;3;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketExponential();140;1;9;27;0.6923076923076923;25;0.6578947368421053;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadAdditive();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadAdditive();5;0;0;4;0.10256410256410256;1;0.02631578947368421;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testIterationExceeded();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testIterationExceeded();1312;1;100;28;0.717948717948718;25;0.6578947368421053;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLoopConditionForB();1;5;2;3;2;1;0;4;2;2;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLoopConditionForB();141;1;9;28;0.717948717948718;24;0.631578947368421;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketSin();1;6;3;4;3;1;0;4;2;2;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketSin();24;0;0;23;0.5897435897435898;1;0.02631578947368421;
